category_id,comments_disabled,ratings_disabled,video_error_or_removed
25,False,False,False
23,False,False,False
20,False,False,False
24,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
22,False,False,False
20,False,False,False
25,False,False,False
24,False,False,False
10,False,False,False
22,False,False,False
2,False,False,False
22,False,False,False
23,False,False,False
25,False,False,False
24,False,False,False
22,False,False,False
17,False,False,False
22,False,False,False
26,False,False,False
26,False,False,False
24,False,False,False
23,False,False,False
24,False,False,False
22,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
15,False,False,False
1,False,False,False
25,False,False,False
24,False,False,False
10,False,False,False
24,False,False,False
23,False,False,False
29,False,False,False
20,False,False,False
24,False,False,False
25,False,False,False
1,False,False,False
25,False,False,False
22,False,False,False
24,False,False,False
24,False,False,False
25,False,False,False
22,False,False,False
24,False,False,False
10,False,False,False
24,False,False,False
22,False,False,False
20,False,False,False
25,False,False,False
24,False,False,False
24,False,False,False
23,False,False,False
26,False,False,False
17,False,False,False
22,False,False,False
22,False,False,False
17,False,False,False
17,False,False,False
22,False,False,False
25,False,False,False
24,False,False,False
23,False,False,False
10,False,False,False
22,False,False,False
20,False,False,False
25,False,False,False
22,False,False,False
23,False,False,False
1,False,False,False
24,False,False,False
24,False,False,False
27,False,False,False
26,False,False,False
26,False,False,False
10,False,False,False
25,True,False,False
24,False,False,False
22,False,False,False
15,False,False,False
27,False,False,False
25,False,False,False
22,False,False,False
24,False,False,False
22,False,False,False
24,False,False,False
22,False,False,False
27,False,False,False
26,False,False,False
24,False,False,False
10,False,False,False
10,False,False,False
28,False,False,False
1,False,False,False
24,False,False,False
26,False,False,False
24,False,False,False
25,False,False,False
28,False,False,False
1,False,False,False
24,False,False,False
24,False,False,False
22,False,False,False
20,False,False,False
26,False,False,False
24,False,False,False
22,False,False,False
1,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
25,False,False,False
17,False,False,False
25,False,False,False
25,False,False,False
24,False,False,False
26,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
22,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
10,False,False,False
10,False,False,False
24,False,False,False
22,False,False,False
1,False,False,False
10,False,False,False
22,False,False,False
24,False,False,False
17,False,False,False
10,False,False,False
24,False,False,False
22,False,False,False
17,False,False,False
29,False,False,False
24,False,False,False
1,False,False,False
22,False,False,False
24,False,False,False
24,False,False,False
1,False,False,False
24,False,False,False
23,False,False,False
1,False,False,False
24,False,False,False
1,False,False,False
24,False,False,False
23,False,False,False
25,False,False,False
23,False,False,False
24,False,False,False
24,False,False,False
1,False,False,False
17,False,False,False
20,False,False,False
24,False,False,False
1,False,False,False
1,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
1,False,False,False
24,False,False,False
23,False,False,False
24,False,False,False
10,False,False,False
24,False,False,False
28,False,False,False
25,False,False,False
22,False,False,False
23,False,False,False
25,False,False,False
17,False,False,False
1,False,False,False
10,False,False,False
25,False,False,False
23,False,False,False
26,False,False,False
20,False,False,False
24,False,False,False
10,False,False,False
23,False,False,False
24,False,False,False
17,False,False,False
24,False,False,False
25,False,False,False
10,False,False,False
23,False,False,False
24,False,False,False
22,False,False,False
24,False,False,False
27,False,False,False
23,False,False,False
20,False,False,False
17,False,False,False
1,False,False,False
24,False,False,False
26,False,False,False
10,False,False,False
22,False,False,False
27,False,False,False
23,False,False,False
22,False,False,False
25,False,False,False
1,False,False,False
20,False,False,False
17,False,False,False
24,False,False,False
22,False,False,False
22,False,False,False
25,False,False,False
19,False,False,False
27,False,False,False
23,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
24,False,False,False
26,False,False,False
23,False,False,False
20,False,False,False
10,False,False,False
2,False,False,False
17,False,False,False
24,False,False,False
25,False,False,False
25,True,False,False
17,False,False,False
25,False,False,False
24,False,False,False
20,False,False,False
25,False,False,False
10,False,False,False
23,False,False,False
26,False,False,False
24,False,False,False
22,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
24,False,False,False
25,False,False,False
15,False,False,False
22,False,False,False
26,False,False,False
25,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
10,False,False,False
25,False,False,False
1,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
26,False,False,False
1,False,False,False
20,False,False,False
20,False,False,False
25,False,False,False
22,False,False,False
17,False,False,False
24,False,False,False
24,False,False,False
22,False,False,False
22,False,False,False
25,False,False,False
25,False,False,False
24,False,False,False
1,False,False,False
15,False,False,False
24,False,False,False
23,False,False,False
24,False,False,False
17,False,False,False
22,False,False,False
17,False,False,False
25,False,False,False
10,False,False,False
25,False,False,False
26,False,False,False
25,False,False,False
27,False,False,False
26,False,False,False
25,False,False,False
10,False,False,False
1,False,False,False
23,False,False,False
25,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
22,False,False,False
22,False,False,False
17,False,False,False
25,False,False,False
27,False,False,False
1,False,False,False
15,False,False,False
25,False,False,False
24,False,False,False
1,False,False,False
25,False,False,False
24,False,False,False
23,False,False,False
22,False,False,False
25,False,False,False
25,False,True,False
24,False,False,False
17,False,False,False
10,False,False,False
24,False,False,False
25,False,False,False
25,False,False,False
25,False,False,False
25,False,False,False
22,False,False,False
28,False,False,False
22,False,False,False
17,False,False,False
27,False,False,False
20,False,False,False
24,False,False,False
29,False,False,False
24,False,False,False
27,False,False,False
22,False,False,False
17,False,False,False
29,False,False,False
24,False,False,False
17,False,False,False
22,False,False,False
22,False,False,False
24,False,False,False
22,False,False,False
22,False,False,False
10,False,False,False
24,False,False,False
22,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
1,False,False,False
10,False,False,False
23,False,False,False
24,False,False,False
25,False,False,False
24,False,False,False
10,False,False,False
24,False,False,False
1,False,False,False
24,True,False,False
1,False,False,False
1,False,False,False
1,False,False,False
23,False,False,False
22,False,False,False
24,False,False,False
1,False,False,False
23,False,False,False
22,False,False,False
1,False,False,False
24,False,False,False
10,False,False,False
24,False,False,False
24,False,False,False
1,False,False,False
24,False,False,False
24,False,False,False
25,False,False,False
28,False,False,False
26,False,False,False
10,False,False,False
20,False,False,False
22,False,False,False
24,False,False,False
17,False,False,False
22,False,False,False
10,False,False,False
23,False,False,False
24,False,False,False
17,False,False,False
20,False,False,False
